,Rnk,BIB,H2H,Rider,Age,Team,UCI,Pnt,Time,race_code
934,OTL,132,,SERRANO JavierEOLO-Kometa,21,EOLO-Kometa,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
935,OTL,173,,ITURRIA MikelEuskaltel - Euskadi,30,Euskaltel - Euskadi,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
936,OTL,169,,BERASATEGI XabierEuskaltel - Euskadi,22,Euskaltel - Euskadi,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
937,OTL,164,,IRIBAR UnaiEuskaltel - Euskadi,23,Euskaltel - Euskadi,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
938,OTL,211,,GARCIA Jose MariaElectro Hiper Europa,24,Electro Hiper Europa,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
939,OTL,212,,FAURA Jose LuisElectro Hiper Europa,22,Electro Hiper Europa,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
940,OTL,207,,ESTELRICH MateuElectro Hiper Europa,21,Electro Hiper Europa,,,",,19:40",trofeo-andratx-mirador-d-es-colomer/2023
941,DNF,89,,RODRÍGUEZ CristiánTeam Arkéa Samsic,27,Team Arkéa Samsic,,,-,trofeo-andratx-mirador-d-es-colomer/2023
942,DNF,86,,MCLAY DanielTeam Arkéa Samsic,31,Team Arkéa Samsic,,,-,trofeo-andratx-mirador-d-es-colomer/2023
943,DNF,138,,NAVARRO DanielBurgos-BH,39,Burgos-BH,,,-,trofeo-andratx-mirador-d-es-colomer/2023
944,DNF,146,,LANGELLOTTI VictorBurgos-BH,27,Burgos-BH,,,-,trofeo-andratx-mirador-d-es-colomer/2023
945,DNF,139,,PELEGRÍ ÓscarBurgos-BH,28,Burgos-BH,,,-,trofeo-andratx-mirador-d-es-colomer/2023
946,DNF,144,,FRANCO AlejandroBurgos-BH,21,Burgos-BH,,,-,trofeo-andratx-mirador-d-es-colomer/2023
947,DNF,124,,PIRA Yesid AlbeiroCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,-,trofeo-andratx-mirador-d-es-colomer/2023
948,DNF,117,,BABOR DanielCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,-,trofeo-andratx-mirador-d-es-colomer/2023
949,DNF,49,,HERRADA JesúsCofidis,32,Cofidis,,,-,trofeo-andratx-mirador-d-es-colomer/2023
950,DNF,200,,HECHT GageHuman Powered Health,24,Human Powered Health,,,-,trofeo-andratx-mirador-d-es-colomer/2023
951,DNF,204,,PERRY BenjaminHuman Powered Health,28,Human Powered Health,,,-,trofeo-andratx-mirador-d-es-colomer/2023
952,DNF,205,,SCHÖNBERGER SebastianHuman Powered Health,28,Human Powered Health,,,-,trofeo-andratx-mirador-d-es-colomer/2023
953,DNF,198,,CHRÉTIEN Charles-ÉtienneHuman Powered Health,23,Human Powered Health,,,-,trofeo-andratx-mirador-d-es-colomer/2023
954,DNF,197,,BASSETT StephenHuman Powered Health,27,Human Powered Health,,,-,trofeo-andratx-mirador-d-es-colomer/2023
955,DNF,35,,OLIVEIRA RuiUAE Team Emirates,26,UAE Team Emirates,,,-,trofeo-andratx-mirador-d-es-colomer/2023
956,DNF,34,,NOVAK DomenUAE Team Emirates,27,UAE Team Emirates,,,-,trofeo-andratx-mirador-d-es-colomer/2023
957,DNF,29,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,,,-,trofeo-andratx-mirador-d-es-colomer/2023
958,DNF,28,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,,,-,trofeo-andratx-mirador-d-es-colomer/2023
959,DNF,11,,VAN LERBERGHE BertSoudal - Quick Step,30,Soudal - Quick Step,,,-,trofeo-andratx-mirador-d-es-colomer/2023
960,DNF,192,,GERITS VinceTeam Flanders - Baloise,25,Team Flanders - Baloise,,,-,trofeo-andratx-mirador-d-es-colomer/2023
961,DNF,191,,DE PESTEL SanderTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,trofeo-andratx-mirador-d-es-colomer/2023
962,DNF,75,,HUYS LaurensIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,-,trofeo-andratx-mirador-d-es-colomer/2023
963,DNF,69,,GIRMAY BiniamIntermarché - Circus - Wanty,22,Intermarché - Circus - Wanty,,,-,trofeo-andratx-mirador-d-es-colomer/2023
964,DNF,25,,PEDRERO AntonioMovistar Team,31,Movistar Team,,,-,trofeo-andratx-mirador-d-es-colomer/2023
965,DNF,16,,ROJAS José JoaquínMovistar Team,37,Movistar Team,,,-,trofeo-andratx-mirador-d-es-colomer/2023
966,DNF,17,,ARANBURU AlexMovistar Team,27,Movistar Team,,,-,trofeo-andratx-mirador-d-es-colomer/2023
967,DNF,101,,SELIG RüdigerLotto Dstny,33,Lotto Dstny,,,-,trofeo-andratx-mirador-d-es-colomer/2023
968,DNF,94,,DE GENDT ThomasLotto Dstny,36,Lotto Dstny,,,-,trofeo-andratx-mirador-d-es-colomer/2023
969,DNF,100,,SCHWARZMANN MichaelLotto Dstny,32,Lotto Dstny,,,-,trofeo-andratx-mirador-d-es-colomer/2023
970,DNF,112,,WEINBERG RoiIsrael - Premier Tech,22,Israel - Premier Tech,,,-,trofeo-andratx-mirador-d-es-colomer/2023
971,DNF,113,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,-,trofeo-andratx-mirador-d-es-colomer/2023
972,DNF,108,,SAGIV GuyIsrael - Premier Tech,28,Israel - Premier Tech,,,-,trofeo-andratx-mirador-d-es-colomer/2023
973,DNF,235,,ANGUELA MarioSpain,18,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
974,DNF,233,,NAVAS Alvaro Spain,18,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
975,DNF,229,,BENNASSAR FrancescSpain,20,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
976,DNF,236,,MERENCIANO AlejandroSpain,18,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
977,DNF,231,,ROMERO JaimeSpain,20,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
978,DNF,230,,TERRASA MarcSpain,19,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
979,DNF,228,,MARTORELL ErikSpain,24,Spain,,,-,trofeo-andratx-mirador-d-es-colomer/2023
980,DNF,64,,PICCOLO AndreaEF Education-EasyPost,21,EF Education-EasyPost,,,-,trofeo-andratx-mirador-d-es-colomer/2023
981,DNF,65,,EIKING Odd ChristianEF Education-EasyPost,28,EF Education-EasyPost,,,-,trofeo-andratx-mirador-d-es-colomer/2023
982,DNF,221,,VOGEL StephenProject Echelon Racing,33,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
983,DNF,223,,HARDIN WilliamProject Echelon Racing,24,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
984,DNF,222,,ARNOPOL RichardProject Echelon Racing,30,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
985,DNF,220,,CRAINE EthanProject Echelon Racing,21,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
986,DNF,219,,STITES TylerProject Echelon Racing,24,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
987,DNF,218,,SCALA JR HugoProject Echelon Racing,25,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
988,DNF,224,,MORRIS SamProject Echelon Racing,27,Project Echelon Racing,,,-,trofeo-andratx-mirador-d-es-colomer/2023
989,DNF,127,,MAESTRI MircoEOLO-Kometa,31,EOLO-Kometa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
990,DNF,130,,FANCELLU AlessandroEOLO-Kometa,22,EOLO-Kometa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
991,DNF,129,,MARTIN DavidEOLO-Kometa,23,EOLO-Kometa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
992,DNF,131,,BAIS MattiaEOLO-Kometa,26,EOLO-Kometa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
993,DNF,128,,RIVI SamueleEOLO-Kometa,24,EOLO-Kometa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
994,DNF,171,,ETXEBERRIA AsierEuskaltel - Euskadi,24,Euskaltel - Euskadi,,,-,trofeo-andratx-mirador-d-es-colomer/2023
995,DNF,182,,RETEGI MikelEquipo Kern Pharma,21,Equipo Kern Pharma,,,-,trofeo-andratx-mirador-d-es-colomer/2023
996,DNF,175,,AGIRRE JonEquipo Kern Pharma,25,Equipo Kern Pharma,,,-,trofeo-andratx-mirador-d-es-colomer/2023
997,DNF,181,,LÓPEZ JordiEquipo Kern Pharma,24,Equipo Kern Pharma,,,-,trofeo-andratx-mirador-d-es-colomer/2023
998,DNF,214,,ROPERO AlejandroElectro Hiper Europa,24,Electro Hiper Europa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
999,DNF,209,,CAÑELLAS XavierElectro Hiper Europa,25,Electro Hiper Europa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
1000,DNF,216,,VOLLMER AndrewElectro Hiper Europa,22,Electro Hiper Europa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
1001,DNF,217,,MOLENAAR AlexElectro Hiper Europa,23,Electro Hiper Europa,,,-,trofeo-andratx-mirador-d-es-colomer/2023
1002,DNS,55,,ZINGLE AxelCofidis,24,Cofidis,,,-,trofeo-andratx-mirador-d-es-colomer/2023
1003,,,,,,,,,,deia-trophy/2023
1004,1,73,,GOOSSENS KobeIntermarché - Circus - Wanty,26,Intermarché - Circus - Wanty,125,75,2:55:07,deia-trophy/2023
1005,2,104,,VAN EETVELT LennertLotto Dstny,21,Lotto Dstny,85,55,0:070:07,deia-trophy/2023
1006,3,15,,VAN WILDER IlanSoudal - Quick Step,22,Soudal - Quick Step,70,40,0:090:09,deia-trophy/2023
1007,4,72,,CALMEJANE LilianIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,60,32,0:110:11,deia-trophy/2023
1008,5,29,,MCNULTY BrandonUAE Team Emirates,24,UAE Team Emirates,50,28,0:130:13,deia-trophy/2023
1009,6,67,,CARTHY HughEF Education-EasyPost,28,EF Education-EasyPost,40,24,",,0:13",deia-trophy/2023
1010,7,154,,MARTINELLI AlessioGreen Project-Bardiani CSF-Faizanè,21,Green Project-Bardiani CSF-Faizanè,35,20,",,0:13",deia-trophy/2023
1011,8,158,,TONELLI AlessandroGreen Project-Bardiani CSF-Faizanè,30,Green Project-Bardiani CSF-Faizanè,30,18,0:210:21,deia-trophy/2023
1012,9,36,,ALMEIDA JoãoUAE Team Emirates,24,UAE Team Emirates,25,16,0:310:31,deia-trophy/2023
1013,10,103,,SWEENY HarryLotto Dstny,24,Lotto Dstny,20,14,1:201:20,deia-trophy/2023
1014,11,65,,EIKING Odd ChristianEF Education-EasyPost,28,EF Education-EasyPost,15,12,1:261:26,deia-trophy/2023
1015,12,55,,ZINGLE AxelCofidis,24,Cofidis,10,10,1:331:33,deia-trophy/2023
1016,13,114,,BARCELÓ FernandoCaja Rural - Seguros RGA,27,Caja Rural - Seguros RGA,5,8,",,1:33",deia-trophy/2023
1017,14,45,,SCHELLING IdeBORA - hansgrohe,24,BORA - hansgrohe,5,7,1:591:59,deia-trophy/2023
1018,15,219,,STITES TylerProject Echelon Racing,24,Project Echelon Racing,5,6,",,1:59",deia-trophy/2023
1019,16,118,,BARRENETXEA JonCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,3,5,",,1:59",deia-trophy/2023
1020,17,162,,CANAL CarlosEuskaltel - Euskadi,21,Euskaltel - Euskadi,3,4,",,1:59",deia-trophy/2023
1021,18,17,,ARANBURU AlexMovistar Team,27,Movistar Team,3,3,",,1:59",deia-trophy/2023
1022,19,27,,SERRANO GonzaloMovistar Team,28,Movistar Team,3,2,",,1:59",deia-trophy/2023
1023,20,16,,ROJAS José JoaquínMovistar Team,37,Movistar Team,3,1,",,1:59",deia-trophy/2023
1024,21,3,,BAGIOLI AndreaSoudal - Quick Step,23,Soudal - Quick Step,3,,",,1:59",deia-trophy/2023
1025,22,62,,VAN DEN BERG JuliusEF Education-EasyPost,26,EF Education-EasyPost,3,,",,1:59",deia-trophy/2023
1026,23,32,,BJERG MikkelUAE Team Emirates,24,UAE Team Emirates,3,,2:052:05,deia-trophy/2023
1027,24,143,,DÍAZ José ManuelBurgos-BH,28,Burgos-BH,3,,",,2:05",deia-trophy/2023
1028,25,149,,COVILI LucaGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,3,,",,2:05",deia-trophy/2023
1029,26,141,,SÁNCHEZ PelayoBurgos-BH,22,Burgos-BH,,,",,2:05",deia-trophy/2023
1030,27,177,,BERRADE UrkoEquipo Kern Pharma,25,Equipo Kern Pharma,,,",,2:05",deia-trophy/2023
1031,28,128,,RIVI SamueleEOLO-Kometa,24,EOLO-Kometa,,,",,2:05",deia-trophy/2023
1032,29,43,,ZWIEHOFF BenBORA - hansgrohe,28,BORA - hansgrohe,,,",,2:05",deia-trophy/2023
1033,30,8,,MASNADA FaustoSoudal - Quick Step,29,Soudal - Quick Step,,,",,2:05",deia-trophy/2023
1034,31,102,,SEPÚLVEDA EduardoLotto Dstny,31,Lotto Dstny,,,",,2:05",deia-trophy/2023
1035,32,138,,NAVARRO DanielBurgos-BH,39,Burgos-BH,,,",,2:05",deia-trophy/2023
1036,33,63,,SHAW JamesEF Education-EasyPost,26,EF Education-EasyPost,,,",,2:05",deia-trophy/2023
1037,34,42,,UIJTDEBROEKS CianBORA - hansgrohe,19,BORA - hansgrohe,,,",,2:05",deia-trophy/2023
1038,35,85,,GUGLIELMI SimonTeam Arkéa Samsic,25,Team Arkéa Samsic,,,2:132:13,deia-trophy/2023
1039,36,122,,MARTÍN Sergio RomanCaja Rural - Seguros RGA,26,Caja Rural - Seguros RGA,,,2:152:15,deia-trophy/2023
1040,37,161,,BIZKARRA MikelEuskaltel - Euskadi,33,Euskaltel - Euskadi,,,",,2:15",deia-trophy/2023
1041,38,12,,VANSEVENANT MauriSoudal - Quick Step,23,Soudal - Quick Step,,,",,2:15",deia-trophy/2023
1042,39,205,,SCHÖNBERGER SebastianHuman Powered Health,28,Human Powered Health,,,2:262:26,deia-trophy/2023
1043,40,14,,VERVAEKE LouisSoudal - Quick Step,29,Soudal - Quick Step,,,",,2:26",deia-trophy/2023
1044,41,163,,SOTO Antonio JesúsEuskaltel - Euskadi,28,Euskaltel - Euskadi,,,3:183:18,deia-trophy/2023
1045,42,193,,VAN HEMELEN VincentTeam Flanders - Baloise,22,Team Flanders - Baloise,,,4:294:29,deia-trophy/2023
1046,43,1,,ALAPHILIPPE JulianSoudal - Quick Step,30,Soudal - Quick Step,,,4:344:34,deia-trophy/2023
1047,44,201,,JENSEN AugustHuman Powered Health,31,Human Powered Health,,,5:395:39,deia-trophy/2023
1048,45,160,,EL GOUZI OmarGreen Project-Bardiani CSF-Faizanè,23,Green Project-Bardiani CSF-Faizanè,,,",,5:39",deia-trophy/2023
1049,46,179,,COBO IvánEquipo Kern Pharma,23,Equipo Kern Pharma,,,",,5:39",deia-trophy/2023
1050,47,164,,IRIBAR UnaiEuskaltel - Euskadi,23,Euskaltel - Euskadi,,,",,5:39",deia-trophy/2023
1051,48,48,,MARTIN GuillaumeCofidis,29,Cofidis,,,",,5:39",deia-trophy/2023
1052,49,227,,MORA SebastiánSpain,34,Spain,,,",,5:39",deia-trophy/2023
1053,50,175,,AGIRRE JonEquipo Kern Pharma,25,Equipo Kern Pharma,,,",,5:39",deia-trophy/2023
1054,51,18,,ARCAS JorgeMovistar Team,30,Movistar Team,,,5:445:44,deia-trophy/2023
1055,52,126,,GAVAZZI FrancescoEOLO-Kometa,38,EOLO-Kometa,,,5:475:47,deia-trophy/2023
1056,53,178,,GARCÍA PIERNA CarlosEquipo Kern Pharma,23,Equipo Kern Pharma,,,5:485:48,deia-trophy/2023
1057,54,89,,RODRÍGUEZ CristiánTeam Arkéa Samsic,27,Team Arkéa Samsic,,,6:116:11,deia-trophy/2023
1058,55,81,,BARGUIL WarrenTeam Arkéa Samsic,31,Team Arkéa Samsic,,,",,6:11",deia-trophy/2023
1059,56,112,,WEINBERG RoiIsrael - Premier Tech,22,Israel - Premier Tech,,,7:057:05,deia-trophy/2023
1060,57,5,,CAVAGNA RémiSoudal - Quick Step,27,Soudal - Quick Step,,,7:207:20,deia-trophy/2023
1061,58,106,,HOLLENSTEIN RetoIsrael - Premier Tech,37,Israel - Premier Tech,,,",,7:20",deia-trophy/2023
1062,59,207,,ESTELRICH MateuElectro Hiper Europa,21,Electro Hiper Europa,,,",,7:20",deia-trophy/2023
1063,60,99,,PAASSCHENS MathijsLotto Dstny,26,Lotto Dstny,,,",,7:20",deia-trophy/2023
1064,61,174,,ADRIÀ RogerEquipo Kern Pharma,24,Equipo Kern Pharma,,,7:237:23,deia-trophy/2023
1065,62,167,,BOU JoanEuskaltel - Euskadi,26,Euskaltel - Euskadi,,,7:247:24,deia-trophy/2023
1066,63,91,,RIES MichelTeam Arkéa Samsic,24,Team Arkéa Samsic,,,7:267:26,deia-trophy/2023
1067,64,37,,BUCHMANN EmanuelBORA - hansgrohe,30,BORA - hansgrohe,,,7:367:36,deia-trophy/2023
1068,65,39,,KONRAD PatrickBORA - hansgrohe,31,BORA - hansgrohe,,,7:387:38,deia-trophy/2023
1069,66,50,,GESCHKE SimonCofidis,36,Cofidis,,,7:417:41,deia-trophy/2023
1070,67,152,,LUCCA RiccardoGreen Project-Bardiani CSF-Faizanè,25,Green Project-Bardiani CSF-Faizanè,,,7:437:43,deia-trophy/2023
1071,68,80,,VLIEGEN LoïcIntermarché - Circus - Wanty,29,Intermarché - Circus - Wanty,,,7:547:54,deia-trophy/2023
1072,69,78,,PLANCKAERT BaptisteIntermarché - Circus - Wanty,34,Intermarché - Circus - Wanty,,,9:439:43,deia-trophy/2023
1073,70,40,,PALZER AntonBORA - hansgrohe,29,BORA - hansgrohe,,,10:0910:09,deia-trophy/2023
1074,71,95,,EENKHOORN PascalLotto Dstny,25,Lotto Dstny,,,10:1410:14,deia-trophy/2023
1075,72,30,,TRENTIN MatteoUAE Team Emirates,33,UAE Team Emirates,,,",,10:14",deia-trophy/2023
1076,73,145,,FUENTES ÁngelBurgos-BH,26,Burgos-BH,,,",,10:14",deia-trophy/2023
1077,74,83,,DEKKER DavidTeam Arkéa Samsic,24,Team Arkéa Samsic,,,",,10:14",deia-trophy/2023
1078,75,191,,DE PESTEL SanderTeam Flanders - Baloise,24,Team Flanders - Baloise,,,",,10:14",deia-trophy/2023
1079,76,71,,MEINTJES LouisIntermarché - Circus - Wanty,30,Intermarché - Circus - Wanty,,,",,10:14",deia-trophy/2023
1080,77,75,,HUYS LaurensIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,",,10:14",deia-trophy/2023
1081,78,44,,DENZ NicoBORA - hansgrohe,28,BORA - hansgrohe,,,11:1911:19,deia-trophy/2023
1082,79,173,,ITURRIA MikelEuskaltel - Euskadi,30,Euskaltel - Euskadi,,,12:0912:09,deia-trophy/2023
1083,80,198,,CHRÉTIEN Charles-ÉtienneHuman Powered Health,23,Human Powered Health,,,",,12:09",deia-trophy/2023
1084,81,82,,BARRÉ LouisTeam Arkéa Samsic,22,Team Arkéa Samsic,,,12:2512:25,deia-trophy/2023
1085,DNF,131,,BAIS MattiaEOLO-Kometa,26,EOLO-Kometa,,,-,deia-trophy/2023
1086,DNF,199,,HAGA ChadHuman Powered Health,34,Human Powered Health,,,-,deia-trophy/2023
1087,DNF,229,,BENNASSAR FrancescSpain,20,Spain,,,-,deia-trophy/2023
1088,DNF,64,,PICCOLO AndreaEF Education-EasyPost,21,EF Education-EasyPost,,,-,deia-trophy/2023
1089,DNF,157,,TOLIO AlexGreen Project-Bardiani CSF-Faizanè,22,Green Project-Bardiani CSF-Faizanè,,,-,deia-trophy/2023
1090,DNF,214,,ROPERO AlejandroElectro Hiper Europa,24,Electro Hiper Europa,,,-,deia-trophy/2023
1091,DNF,25,,PEDRERO AntonioMovistar Team,31,Movistar Team,,,-,deia-trophy/2023
1092,DNF,110,,MACKELLAR AlastairIsrael - Premier Tech,21,Israel - Premier Tech,,,-,deia-trophy/2023
1093,DNF,190,,COLMAN AlexTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,deia-trophy/2023
1094,DNF,224,,MORRIS SamProject Echelon Racing,27,Project Echelon Racing,,,-,deia-trophy/2023
1095,DNF,58,,DOULL OwainEF Education-EasyPost,29,EF Education-EasyPost,,,-,deia-trophy/2023
1096,DNF,127,,MAESTRI MircoEOLO-Kometa,31,EOLO-Kometa,,,-,deia-trophy/2023
1097,DNF,146,,LANGELLOTTI VictorBurgos-BH,27,Burgos-BH,,,-,deia-trophy/2023
1098,DNF,212,,FAURA Jose LuisElectro Hiper Europa,22,Electro Hiper Europa,,,-,deia-trophy/2023
1099,DNF,108,,SAGIV GuyIsrael - Premier Tech,28,Israel - Premier Tech,,,-,deia-trophy/2023
1100,DNF,187,,BONNEU KamielTeam Flanders - Baloise,23,Team Flanders - Baloise,,,-,deia-trophy/2023
1101,DNF,222,,ARNOPOL RichardProject Echelon Racing,30,Project Echelon Racing,,,-,deia-trophy/2023
1102,DNF,51,,HERRADA JoséCofidis,37,Cofidis,,,-,deia-trophy/2023
1103,DNF,123,,MURGUIALDAY JokinCaja Rural - Seguros RGA,22,Caja Rural - Seguros RGA,,,-,deia-trophy/2023
1104,DNF,137,,ARDILA Andrés CamiloBurgos-BH,23,Burgos-BH,,,-,deia-trophy/2023
1105,DNF,209,,CAÑELLAS XavierElectro Hiper Europa,25,Electro Hiper Europa,,,-,deia-trophy/2023
1106,DNF,232,,GARAIAR BeñatSpain,18,Spain,,,-,deia-trophy/2023
1107,DNF,94,,DE GENDT ThomasLotto Dstny,36,Lotto Dstny,,,-,deia-trophy/2023
1108,DNF,180,,ELOSEGUI IñigoEquipo Kern Pharma,24,Equipo Kern Pharma,,,-,deia-trophy/2023
1109,DNF,220,,CRAINE EthanProject Echelon Racing,21,Project Echelon Racing,,,-,deia-trophy/2023
1110,DNF,35,,OLIVEIRA RuiUAE Team Emirates,26,UAE Team Emirates,,,-,deia-trophy/2023
1111,DNF,115,,AMEZQUETA JulenCaja Rural - Seguros RGA,29,Caja Rural - Seguros RGA,,,-,deia-trophy/2023
1112,DNF,132,,SERRANO JavierEOLO-Kometa,21,EOLO-Kometa,,,-,deia-trophy/2023
1113,DNF,200,,HECHT GageHuman Powered Health,24,Human Powered Health,,,-,deia-trophy/2023
1114,DNF,230,,TERRASA MarcSpain,19,Spain,,,-,deia-trophy/2023
1115,DNF,74,,HERREGODTS RuneIntermarché - Circus - Wanty,24,Intermarché - Circus - Wanty,,,-,deia-trophy/2023
1116,DNF,166,,MATÉ Luis ÁngelEuskaltel - Euskadi,38,Euskaltel - Euskadi,,,-,deia-trophy/2023
1117,DNF,216,,VOLLMER AndrewElectro Hiper Europa,22,Electro Hiper Europa,,,-,deia-trophy/2023
1118,DNF,28,,WELLENS TimUAE Team Emirates,31,UAE Team Emirates,,,-,deia-trophy/2023
1119,DNF,111,,PICKRELL RileyIsrael - Premier Tech,21,Israel - Premier Tech,,,-,deia-trophy/2023
1120,DNF,194,,VANHOOF WardTeam Flanders - Baloise,23,Team Flanders - Baloise,,,-,deia-trophy/2023
1121,DNF,228,,MARTORELL ErikSpain,24,Spain,,,-,deia-trophy/2023
1122,DNF,61,,STEINHAUSER GeorgEF Education-EasyPost,21,EF Education-EasyPost,,,-,deia-trophy/2023
1123,DNF,130,,FANCELLU AlessandroEOLO-Kometa,22,EOLO-Kometa,,,-,deia-trophy/2023
1124,DNF,155,,NIERI AlessioGreen Project-Bardiani CSF-Faizanè,21,Green Project-Bardiani CSF-Faizanè,,,-,deia-trophy/2023
1125,DNF,213,,MARTÍN José MaríaElectro Hiper Europa,21,Electro Hiper Europa,,,-,deia-trophy/2023
1126,DNF,20,,GARCÍA CORTINA IvánMovistar Team,27,Movistar Team,,,-,deia-trophy/2023
1127,DNF,109,,VAN ASBROECK TomIsrael - Premier Tech,32,Israel - Premier Tech,,,-,deia-trophy/2023
1128,DNF,189,,CLYNHENS ToonTeam Flanders - Baloise,21,Team Flanders - Baloise,,,-,deia-trophy/2023
1129,DNF,223,,HARDIN WilliamProject Echelon Racing,24,Project Echelon Racing,,,-,deia-trophy/2023
1130,DNF,53,,TOUMIRE HugoCofidis,21,Cofidis,,,-,deia-trophy/2023
1131,DNF,124,,PIRA Yesid AlbeiroCaja Rural - Seguros RGA,23,Caja Rural - Seguros RGA,,,-,deia-trophy/2023
1132,DNF,144,,FRANCO AlejandroBurgos-BH,21,Burgos-BH,,,-,deia-trophy/2023
1133,DNF,211,,GARCIA Jose MariaElectro Hiper Europa,24,Electro Hiper Europa,,,-,deia-trophy/2023
1134,DNF,234,,PEREZ AlbertoSpain,23,Spain,,,-,deia-trophy/2023
1135,DNF,97,,LIVYNS ArjenLotto Dstny,28,Lotto Dstny,,,-,deia-trophy/2023
1136,DNF,186,,APERS RubenTeam Flanders - Baloise,24,Team Flanders - Baloise,,,-,deia-trophy/2023
1137,DNF,221,,VOGEL StephenProject Echelon Racing,33,Project Echelon Racing,,,-,deia-trophy/2023
1138,DNF,49,,HERRADA JesúsCofidis,32,Cofidis,,,-,deia-trophy/2023
1139,DNF,116,,AULAR OrluisCaja Rural - Seguros RGA,26,Caja Rural - Seguros RGA,,,-,deia-trophy/2023
1140,DNF,133,,GAROSIO AndreaEOLO-Kometa,29,EOLO-Kometa,,,-,deia-trophy/2023
1141,DNF,202,,JOYCE ColinHuman Powered Health,28,Human Powered Health,,,-,deia-trophy/2023
1142,DNF,231,,ROMERO JaimeSpain,20,Spain,,,-,deia-trophy/2023
1143,DNF,88,,EDET NicolasTeam Arkéa Samsic,35,Team Arkéa Samsic,,,-,deia-trophy/2023
1144,DNF,176,,ARRIETA IgorEquipo Kern Pharma,20,Equipo Kern Pharma,,,-,deia-trophy/2023
1145,DNF,218,,SCALA JR HugoProject Echelon Racing,25,Project Echelon Racing,,,-,deia-trophy/2023
1146,DNF,33,,MOLANO Juan SebastiánUAE Team Emirates,28,UAE Team Emirates,,,-,deia-trophy/2023
1147,DNF,113,,EINHORN ItamarIsrael - Premier Tech,25,Israel - Premier Tech,,,-,deia-trophy/2023
1148,,,,,,,,,,gp-d-ouverture/2023
1149,1,56,,POWLESS NeilsonEF Education-EasyPost,26,EF Education-EasyPost,125,75,4:19:13,gp-d-ouverture/2023
1150,2,67,,FERRON ValentinTotalEnergies,24,TotalEnergies,85,55,1:151:15,gp-d-ouverture/2023
1151,3,97,,VAN MOER BrentLotto Dstny,25,Lotto Dstny,70,40,",,1:15",gp-d-ouverture/2023
1152,4,111,,BERCKMOES JennoTeam Flanders - Baloise,21,Team Flanders - Baloise,60,32,",,1:15",gp-d-ouverture/2023
1153,5,75,,NEILANDS KristsIsrael - Premier Tech,28,Israel - Premier Tech,50,28,",,1:15",gp-d-ouverture/2023
1154,6,26,,PÉRICHON Pierre-LucCofidis,36,Cofidis,40,24,",,1:15",gp-d-ouverture/2023
1155,7,5,,GUERNALEC ThibaultTeam Arkéa Samsic,25,Team Arkéa Samsic,35,20,",,1:15",gp-d-ouverture/2023
1156,8,34,,MARTINEZ LennyGroupama - FDJ,19,Groupama - FDJ,30,18,",,1:15",gp-d-ouverture/2023
1157,9,32,,PALENI EnzoGroupama - FDJ,20,Groupama - FDJ,25,16,",,1:15",gp-d-ouverture/2023
1158,10,146,,KELEMEN PetrTudor Pro Cycling Team,22,Tudor Pro Cycling Team,20,14,1:191:19,gp-d-ouverture/2023
